,value
nse,-0.09074106203995713
rmse,0.1541737498882627
R2,0.45974535746416806
biasabs,0.0885759636834743
nse_forest,-0.17116297744863695
rmse_forest,0.15544720728874456
R2_forest,0.4117847213744742
biasabs_forest,0.08842388383065958
nse_shrub,-0.12454753125750528
rmse_shrub,0.13900865349024524
R2_shrub,0.4522377322017951
biasabs_shrub,0.08168311986831606
nse_grass,-0.1150758011635249
rmse_grass,0.15437299263122556
R2_grass,0.45016889957980527
biasabs_grass,0.08672740083042339
nse_crop,0.035864423071386264
rmse_crop,0.16786614614283552
R2_crop,0.5247900767005977
biasabs_crop,0.09746945020449814
rmse_0_5,0.11000720105925743
rmse_5_10,0.13365824874254623
rmse_10_15,0.15413046196395971
rmse_15_20,0.1636916144837851
rmse25,0.11000720105925743
