,value
nse,-0.03565148215335867
rmse,0.14846913311240448
R2,0.5331566656922859
biasabs,0.09408602677416439
nse_forest,-0.06822048449345886
rmse_forest,0.1447066911620668
R2_forest,0.48357725955983866
biasabs_forest,0.08879998335421985
nse_shrub,-0.11262546635725545
rmse_shrub,0.14229655513615383
R2_shrub,0.5120781579717083
biasabs_shrub,0.0911144813345873
nse_grass,-0.010370751003617062
rmse_grass,0.14475366825792552
R2_grass,0.5501166542824676
biasabs_grass,0.09107610399247032
nse_crop,0.04190366457839012
rmse_crop,0.1621196178934718
R2_crop,0.5868545909551292
biasabs_crop,0.10535353841538009
rmse_0_5,0.08973252956802202
rmse_5_10,0.12742678616351266
rmse_10_15,0.15399898389176023
rmse_15_20,0.1642302727626147
rmse25,0.08973252956802202
