set,n_partitions,n_within_tol_1p05_MSE,ratio_min,ratio_max,ratio_mean,ratio_median,worst_excess_pct,best_gain_pct,ratio_max_at_endpoint10_pct,ratio_max_at_endpoint15_pct,ratio_max_at_endpoint20_pct
IID2856,9,9,0.992329,1.023419,1.009577,1.016875,2.3419,-0.7671,2.3419,2.187,0.5365
dev476,9,9,1.00052,1.027497,1.015013,1.013696,2.7497,0.052,1.814,1.7352,2.7497
