scope,combo,endpoint,partition,tag,n_eligible_cubes,direct_pooled_mse,direct_pooled_rmse,composed_pooled_mse,composed_pooled_rmse,composed_over_direct_ratio,absolute_mse_difference,gate_tolerance,ratio_excess_over_gate,within_gate,q2_alpha0_ci95,q2_alpha0_lcb_gt_0,q2_identity_state_ci95,q2_identity_state_lcb_gt_0,q2_combo_pass
iid2856,ep10|3-7,10,3-7,heldout,1615,0.027289477027162334,0.1651952693849383,0.02774997725043102,0.16658324420670592,1.0168746444942984,0.00046050022326868736,1.05,-0.033125355505701615,True,"[0.0018242642270696818, 0.003029091527658945]",True,"[0.0283080584684128, 0.02985837947064342]",True,True
iid2856,ep10|6-4,10,6-4,heldout,1615,0.027289477027162334,0.1651952693849383,0.02777234513836803,0.16665036795149307,1.0176942969894613,0.00048286811120569484,1.05,-0.0323057030105387,True,"[0.0018401078593355301, 0.0029833862829012877]",True,"[0.02832252014232953, 0.02982584347166601]",True,True
iid2856,ep10|2-3-5,10,2-3-5,heldout,1615,0.027289477027162334,0.1651952693849383,0.027928558973301477,0.16711839806945697,1.0234186219656405,0.0006390819461391424,1.05,-0.02658137803435956,True,"[0.0016412531062629189, 0.002873328635112534]",True,"[0.028132778970535153, 0.029686547738968345]",True,True
iid2856,ep15|4-11,15,4-11,heldout,1568,0.03577887364678231,0.18915304292234453,0.036384341716660384,0.1907468000168296,1.0169225022524577,0.0006054680698780734,1.05,-0.03307749774754232,True,"[0.002860492296201452, 0.004872531549380466]",True,"[0.028143871947506137, 0.030347157583050073]",True,True
iid2856,ep15|3-5-7,15,3-5-7,heldout,1568,0.03577887364678231,0.18915304292234453,0.036561363347779215,0.19121025952542195,1.0218701602717244,0.0007824897009969037,1.05,-0.028129839728275652,True,"[0.002622749855001301, 0.00472469205045283]",True,"[0.027937220781076747, 0.030191559475119693]",True,True
iid2856,ep20|8-12,20,8-12,heldout,1617,0.037690525141916745,0.19414047785538374,0.03740139876207939,0.1933944124375867,0.9923289373456935,-0.0002891263798373567,1.05,-0.05767106265430655,True,"[0.006480376064056437, 0.008791631908136418]",True,"[0.03194460199665189, 0.03450599023738227]",True,True
iid2856,ep20|2-18,20,2-18,heldout,1617,0.037690525141916745,0.19414047785538374,0.03789271865516058,0.1946605215629522,1.0053645714004384,0.00020219351324383267,1.05,-0.0446354285995616,True,"[0.0060702994688387425, 0.00834099356309444]",True,"[0.03157264480345717, 0.034073209213818206]",True,True
iid2856,ep20|2-6-12,20,2-6-12,heldout,1617,0.037690525141916745,0.19414047785538374,0.03759135211029542,0.19388489397138556,0.9973687543156295,-9.917303162132463e-05,1.05,-0.0526312456843705,True,"[0.006247213421980378, 0.008612749426391304]",True,"[0.03171616348085717, 0.034339468926437404]",True,True
iid2856,ep20|1-4-6-9,20,1-4-6-9,heldout,1617,0.037690525141916745,0.19414047785538374,0.03747765219758069,0.19359145693335925,0.9943520833542508,-0.00021287294433605664,1.05,-0.055647916645749196,True,"[0.006325694012869999, 0.008694887006521034]",True,"[0.0318103277037747, 0.03441534887721642]",True,True
