split,scope,comparison,left,right,n_cubes,excluded_cubes,n_cube_horizon_pairs,mean_cube_rmse_difference,median_cube_rmse_difference,mean_cube_mse_difference,median_cube_mse_difference,geo_groups,geo_cluster_bootstrap_ci95_low,geo_cluster_bootstrap_ci95_high,geo_cluster_mse_ci95_low,geo_cluster_mse_ci95_high
iid_corrected_mask,full_suffix_1_to_10,A-D20,A,D20,2066,12,12455,0.0007040047800457726,0.0006183406184631784,0.00020482681606955112,0.0001339960850599703,80,0.0003380750580445508,0.001195981977894233,2.4539621895832788e-05,0.00045299590564461256
iid_corrected_mask,full_suffix_1_to_10,B-D20,B,D20,2066,12,12455,0.00037140125164264145,0.0004393894953509808,7.743077555789234e-05,9.942392647871619e-05,80,-1.2262707368377552e-05,0.0008497144392061509,-0.000155684899576605,0.00032330442439948756
iid_corrected_mask,full_suffix_1_to_10,B-A,B,A,2066,12,12455,-0.0003326035284031318,-0.0001432373785860419,-0.00012739604051165902,-3.952680987636195e-05,80,-0.0005153722796691202,-0.00014053184156497613,-0.00022144944558706068,-6.518386281779906e-05
iid_corrected_mask,full_suffix_1_to_10,donor-A,donor,A,2066,12,12455,0.011161941845528765,0.007545016478958999,0.00319203393815653,0.0018970427726759873,80,0.00964615140742068,0.012519719525659714,0.0024279585211699484,0.0039032768732136154
iid_corrected_mask,endpoint_h10,A-D20,A,D20,1214,864,1214,-0.0003530810318695353,-0.00021120149425654655,-0.00019899753111801,-4.0131553232901004e-05,80,-0.0015406245204647024,0.0001393368031517683,-0.0007285258460700947,8.569938933350563e-05
iid_corrected_mask,endpoint_h10,B-D20,B,D20,1214,864,1214,-0.0002502630425038783,-0.00012011092588409822,-0.00018823895506947058,-2.8270062331516195e-05,80,-0.0020572566496898067,0.0002702871029497975,-0.0008678284992950294,0.0001474390277235054
iid_corrected_mask,endpoint_h10,B-A,B,A,1214,864,1214,0.00010281798936565696,-4.657854747319723e-06,1.0758576048539413e-05,-1.8867068451444702e-06,80,-0.0005907559794848947,0.00022566370736216537,-0.00023609147413852538,8.244883337464358e-05
iid_corrected_mask,endpoint_h10,donor-A,donor,A,1214,864,1214,0.012470851550075083,0.008618497846323236,0.004109052851979534,0.00207514804668317,80,0.0085886728668992,0.01366285077238677,0.002381860542194127,0.004970903300065952
