,value
nse,0.0464021393474352
rmse,0.14449475001738454
R2,0.5186920680943035
biasabs,0.08408674991019645
nse_forest,-0.05263163702583595
rmse_forest,0.14821489190640796
R2_forest,0.45988414262018895
biasabs_forest,0.08444718831233886
nse_shrub,0.0439303348602047
rmse_shrub,0.12901284972819
R2_shrub,0.527697623916976
biasabs_shrub,0.07836315518210701
nse_grass,0.00904020758784041
rmse_grass,0.14638072948245953
R2_grass,0.5088731697552474
biasabs_grass,0.08524390682300803
nse_crop,0.17126226397723765
rmse_crop,0.15437052895248077
R2_crop,0.5783133360848013
biasabs_crop,0.08829274932333188
rmse_0_5,0.09118488568784833
rmse_5_10,0.12433945989867182
rmse_10_15,0.14678528139174551
rmse_15_20,0.1574588500065223
rmse25,0.09118488568784833
