,value
nse,-0.16296401820297257
rmse,0.1631861773061282
R2,0.47768961781809505
biasabs,0.1008964160844277
nse_forest,-0.22953878981028897
rmse_forest,0.16279925859503513
R2_forest,0.4267988343944506
biasabs_forest,0.09898142798592738
nse_shrub,-0.1556945894278594
rmse_shrub,0.1441699026054974
R2_shrub,0.4835375355995764
biasabs_shrub,0.09189730895867096
nse_grass,-0.17094899797394314
rmse_grass,0.16138700522387484
R2_grass,0.4723622116668308
biasabs_grass,0.09853518541317886
nse_crop,-0.099626188279621
rmse_crop,0.18438854280010544
R2_crop,0.5280598896115226
biasabs_crop,0.11417174197993364
rmse_0_5,0.10582274644491321
rmse_5_10,0.13846145035899035
rmse_10_15,0.16432062867949854
rmse_15_20,0.18085243916678218
rmse25,0.10582274644491321
