,value
nse,-0.17849386373599474
rmse,0.15753441400702686
R2,0.5297168943007178
biasabs,0.10084684290644054
nse_forest,-0.23577295684894084
rmse_forest,0.15655404690942418
R2_forest,0.5107446375788951
biasabs_forest,0.10128590683683199
nse_shrub,-0.21610295540196933
rmse_shrub,0.15188606789605835
R2_shrub,0.5176788799344808
biasabs_shrub,0.10155050543190737
nse_grass,-0.1984358015640808
rmse_grass,0.15518504152702048
R2_grass,0.5265818123824262
biasabs_grass,0.09627459304156746
nse_crop,-0.07147886420708183
rmse_crop,0.16651249969560442
R2_crop,0.5638622473070694
biasabs_crop,0.10427636631545534
rmse_0_5,0.11034406174583462
rmse_5_10,0.14185064088587657
rmse_10_15,0.15728848379434962
rmse_15_20,0.1652628304460755
rmse25,0.11034406174583462
