set,combo,endpoint,partition,direct_pooled_mse,composed_pooled_mse,ratio,within_tol
IID2856,ep10|3-7,10,"[3, 7]",0.027289477027162334,0.02774997725043102,1.0168746444942984,True
IID2856,ep10|6-4,10,"[6, 4]",0.027289477027162334,0.02777234513836803,1.0176942969894613,True
IID2856,ep10|2-3-5,10,"[2, 3, 5]",0.027289477027162334,0.027928558973301477,1.0234186219656405,True
IID2856,ep15|4-11,15,"[4, 11]",0.03577887364678231,0.036384341716660384,1.0169225022524577,True
IID2856,ep15|3-5-7,15,"[3, 5, 7]",0.03577887364678231,0.036561363347779215,1.0218701602717244,True
IID2856,ep20|8-12,20,"[8, 12]",0.037690525141916745,0.03740139876207939,0.9923289373456935,True
IID2856,ep20|2-18,20,"[2, 18]",0.037690525141916745,0.03789271865516058,1.0053645714004384,True
IID2856,ep20|2-6-12,20,"[2, 6, 12]",0.037690525141916745,0.03759135211029542,0.9973687543156295,True
IID2856,ep20|1-4-6-9,20,"[1, 4, 6, 9]",0.037690525141916745,0.03747765219758069,0.9943520833542508,True
dev476,ep10|3-7,10,"[3, 7]",0.02350439689896994,0.023819314020631647,1.013398221746141,True
dev476,ep10|6-4,10,"[6, 4]",0.02350439689896994,0.02393076777408019,1.018140047453374,True
dev476,ep10|2-3-5,10,"[2, 3, 5]",0.02350439689896994,0.023752755362616382,1.0105664682533217,True
dev476,ep15|4-11,15,"[4, 11]",0.02640710097455249,0.0268653113257123,1.0173517854762388,True
dev476,ep15|3-5-7,15,"[3, 5, 7]",0.02640710097455249,0.026652460199762792,1.0092914108764437,True
dev476,ep20|8-12,20,"[8, 12]",0.02558430497291432,0.02559760459900821,1.0005198353485847,True
dev476,ep20|2-18,20,"[2, 18]",0.02558430497291432,0.026215172648448967,1.0246583863115506,True
dev476,ep20|2-6-12,20,"[2, 6, 12]",0.02558430497291432,0.025934708741438675,1.0136960440744949,True
dev476,ep20|1-4-6-9,20,"[1, 4, 6, 9]",0.02558430497291432,0.026287800873976308,1.0274971667906072,True
