,0
nse,-1.236823117478306
rmse,0.2349170774106088
R2,1.7614035303917786e-31
biasabs,0.17317169993428932
nse_forest,-1.1733400127816367
rmse_forest,0.2225617848218795
R2_forest,1.8855900735179817e-31
biasabs_forest,0.16245257362836796
nse_shrub,-1.0559471744277706
rmse_shrub,0.19884927714463949
R2_shrub,2.198431571883305e-31
biasabs_shrub,0.13926744785798426
nse_grass,-1.3604253282218144
rmse_grass,0.23420767078304217
R2_grass,1.7468589081965528e-31
biasabs_grass,0.17716144190396338
nse_crop,-1.3801820428194804
rmse_crop,0.2840495768928741
R2_crop,1.2147335679692743e-31
biasabs_crop,0.21380533634684168
