,0
nse,-1.1776913990847726
rmse,0.24146550754629584
R2,2.3546801144851617e-31
biasabs,0.17639485232267166
nse_forest,-0.996028541272334
rmse_forest,0.2138678034477702
R2_forest,3.0352460523071776e-31
biasabs_forest,0.14932440292405946
nse_shrub,-1.0445160613655249
rmse_shrub,0.2027225439423675
R2_shrub,2.5786369538741537e-31
biasabs_shrub,0.1422483643658344
nse_grass,-1.2218533362827748
rmse_grass,0.2361937281226324
R2_grass,2.1940757521713647e-31
biasabs_grass,0.17320506090134466
nse_crop,-1.4945424439181711
rmse_crop,0.3130779546724133
R2_crop,1.6107616995879507e-31
biasabs_crop,0.24080158109944805
