,value
nse,-0.05986814306017019
rmse,0.1463067313874316
R2,0.564209564474629
biasabs,0.09064035457902672
nse_forest,-0.19335564017248164
rmse_forest,0.1519183409718613
R2_forest,0.5164130932200434
biasabs_forest,0.0944454916475413
nse_shrub,-0.06081155514022152
rmse_shrub,0.13783810351203876
R2_shrub,0.5734583723890495
biasabs_shrub,0.08900762481195014
nse_grass,-0.06297554139897832
rmse_grass,0.14394160914734258
R2_grass,0.5624134672045641
biasabs_grass,0.086996400598368
nse_crop,0.06189157809737478
rmse_crop,0.15152887191848388
R2_crop,0.604553325084859
biasabs_crop,0.09211190125824742
rmse_0_5,0.10743479635247294
rmse_5_10,0.13042538461055628
rmse_10_15,0.14298996353777482
rmse_15_20,0.15280522870405722
rmse25,0.10743479635247294
