dataset_index,cube,geo_group,season,donor_index,donor_cube,suffix_horizon,state_A_B_l1,state_A_donor_l1,n_valid,target_sum,target_sum_sq,D20_sse,D20_sum_abs,A_sse,A_sum_abs,B_sse,B_sum_abs,donor_sse,donor_sum_abs,A_B_output_mae,A_D20_output_mae,B_D20_output_mae,donor_A_output_mae
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,1,0.1567201018333435,0.7317655086517334,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,2,0.1567201018333435,0.7317655086517334,15719,10860.1328125,7888.34765625,146.60040283203125,1190.3314208984375,148.69778442382812,1227.0615234375,143.36940002441406,1185.4342041015625,164.9466552734375,1259.03662109375,0.00632302975282073,0.009999952279031277,0.007316348608583212,0.023208260536193848
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,3,0.1567201018333435,0.7317655086517334,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,4,0.1567201018333435,0.7317655086517334,12904,8233.30078125,5407.49609375,111.79468536376953,929.4449462890625,92.60490417480469,830.1031494140625,99.98291778564453,874.2315063476562,107.06903076171875,887.2954711914062,0.006900809705257416,0.016789142042398453,0.011371986009180546,0.018130412325263023
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,5,0.1567201018333435,0.7317655086517334,73,53.186866760253906,41.135284423828125,2.7012112140655518,9.409549713134766,2.786597728729248,9.677022933959961,2.74363374710083,9.574418067932129,2.7151248455047607,9.444042205810547,0.008866672404110432,0.01741611771285534,0.009297379292547703,0.015837064012885094
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,6,0.1567201018333435,0.7317655086517334,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,7,0.1567201018333435,0.7317655086517334,15720,12370.78515625,9950.896484375,165.56593322753906,1385.6712646484375,227.18258666992188,1694.0335693359375,208.59498596191406,1601.8720703125,223.82162475585938,1653.1351318359375,0.0068022506311535835,0.024041175842285156,0.017802007496356964,0.016801463440060616
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,8,0.1567201018333435,0.7317655086517334,15720,12315.896484375,9823.431640625,136.35537719726562,1204.218017578125,188.041259765625,1495.0162353515625,175.3963623046875,1419.5032958984375,189.00540161132812,1455.7825927734375,0.005962403956800699,0.02296304889023304,0.01782883144915104,0.01757039502263069
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,9,0.1567201018333435,0.7317655086517334,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2,minicube_101_32TPR_45.53_11.26,32TPR,2017-05,166,minicube_35_30TXR_45.39_-1.14,10,0.1567201018333435,0.7317655086517334,15719,11961.08984375,9249.078125,132.30816650390625,1142.6175537109375,158.58639526367188,1299.9320068359375,154.197021484375,1265.2003173828125,157.48870849609375,1238.4239501953125,0.004225178621709347,0.014114770106971264,0.011846696957945824,0.018814628943800926
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,1,0.15893512964248657,0.595422089099884,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,2,0.15893512964248657,0.595422089099884,15853,12892.8603515625,10666.80859375,63.54732894897461,680.3867797851562,56.455291748046875,605.031005859375,58.70827102661133,646.44970703125,103.74531555175781,1048.14111328125,0.010313062928617,0.022241614758968353,0.012868063524365425,0.049591436982154846
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,3,0.15893512964248657,0.595422089099884,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,4,0.15893512964248657,0.595422089099884,1760,1285.197265625,957.3253784179688,22.92737579345703,166.99285888671875,16.995140075683594,140.39295959472656,19.34261131286621,151.0588836669922,13.014575958251953,117.55951690673828,0.010212909430265427,0.027961691841483116,0.018386827781796455,0.035354092717170715
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,5,0.15893512964248657,0.595422089099884,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,6,0.15893512964248657,0.595422089099884,4875,3610.3623046875,2716.36962890625,79.60011291503906,490.9850158691406,67.07987976074219,432.76409912109375,76.9384994506836,476.4760437011719,65.61122131347656,424.79656982421875,0.01129971444606781,0.016813943162560463,0.009181191213428974,0.03326685354113579
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,7,0.15893512964248657,0.595422089099884,15788,13195.9609375,11172.08984375,54.057281494140625,681.91943359375,59.92894744873047,748.7647705078125,51.120365142822266,648.2467651367188,93.0787353515625,947.316650390625,0.01063239760696888,0.010215623304247856,0.00888203177601099,0.03529037535190582
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,8,0.15893512964248657,0.595422089099884,15814,12579.439453125,10122.955078125,48.08283233642578,621.1722412109375,46.17626190185547,603.819091796875,50.75874328613281,657.3515625,73.03205108642578,824.98388671875,0.009766576811671257,0.006280266214162111,0.010714683681726456,0.034683629870414734
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,9,0.15893512964248657,0.595422089099884,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3,minicube_102_32TPR_45.81_10.98,32TPR,2017-05,177,minicube_45_30TYR_45.62_0.78,10,0.15893512964248657,0.595422089099884,15800,12741.515625,10430.798828125,103.04117584228516,1009.010009765625,89.99400329589844,915.3652954101562,84.78407287597656,872.8756103515625,114.334716796875,1046.275390625,0.007189157418906689,0.012386441230773926,0.019507959485054016,0.034949108958244324
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,1,0.15954133868217468,0.6970516443252563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,2,0.15954133868217468,0.6970516443252563,15455,9834.8818359375,6840.75244140625,767.4525756835938,2672.8740234375,787.218505859375,2708.23095703125,791.7855224609375,2697.57373046875,775.916748046875,2746.96337890625,0.0065565393306314945,0.007937995716929436,0.0086246058344841,0.029036017134785652
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,3,0.15954133868217468,0.6970516443252563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,4,0.15954133868217468,0.6970516443252563,15456,9878.87890625,6744.62109375,622.3632202148438,2403.444580078125,646.577880859375,2450.4326171875,649.8933715820312,2450.504638671875,632.0872802734375,2461.37451171875,0.0068484116345644,0.009236537851393223,0.009210568852722645,0.028878604993224144
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,5,0.15954133868217468,0.6970516443252563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,6,0.15954133868217468,0.6970516443252563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,7,0.15954133868217468,0.6970516443252563,15456,11298.76171875,8729.103515625,724.1138916015625,2841.84814453125,749.9556884765625,2930.55322265625,735.3594970703125,2882.560302734375,729.71630859375,2846.4921875,0.006569942459464073,0.010579186491668224,0.008849511854350567,0.024690203368663788
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,8,0.15954133868217468,0.6970516443252563,15452,10826.0302734375,7990.775390625,581.6880493164062,2448.9765625,582.8828735351562,2478.97314453125,577.3936157226562,2449.6103515625,576.0914916992188,2434.93603515625,0.0063016340136528015,0.010149708017706871,0.009696602821350098,0.024078745394945145
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,9,0.15954133868217468,0.6970516443252563,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,minicube_103_32TPR_45.49_10.47,32TPR,2017-05,149,minicube_238_34TFT_47.29_22.46,10,0.15954133868217468,0.6970516443252563,15451,10004.431640625,7307.8427734375,705.294189453125,2796.8076171875,704.7677001953125,2809.8798828125,699.4014892578125,2783.7626953125,694.8304443359375,2769.939453125,0.00593129638582468,0.008235981687903404,0.009648780338466167,0.02203577198088169
5,minicube_104_32TPS_46.09_10.99,32TPS,2017-05,65,minicube_161_33TYN_47.69_18.48,1,0.16138845682144165,0.6167852878570557,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
