dataset_index,cube,geo_group,season,donor_index,donor_cube,suffix_horizon,state_A_B_l1,state_A_donor_l1,n_valid,target_sum,target_sum_sq,D20_sse,D20_sum_abs,A_sse,A_sum_abs,B_sse,B_sum_abs,donor_sse,donor_sum_abs,A_B_output_mae,A_D20_output_mae,B_D20_output_mae,donor_A_output_mae
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,1,0.1756386160850525,0.8999571204185486,26,9.630670547485352,3.6795051097869873,2.2687761783599854,7.250466823577881,1.869175672531128,6.49590539932251,1.8514469861984253,6.457142353057861,1.331719994544983,5.286611080169678,0.0017835727194324136,0.02902161329984665,0.030512476339936256,0.04651131108403206
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,2,0.1756386160850525,0.8999571204185486,13365,5747.6630859375,2944.18017578125,265.2205810546875,1677.80517578125,168.84359741210938,1284.7249755859375,179.34165954589844,1323.453125,93.7303466796875,918.1256713867188,0.0036893365904688835,0.03481261059641838,0.03159873187541962,0.03762926161289215
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,3,0.1756386160850525,0.8999571204185486,14278,6027.388671875,3067.01904296875,367.1695861816406,2042.3585205078125,246.61892700195312,1612.5687255859375,260.1330261230469,1655.298095703125,136.2295684814453,1158.401611328125,0.003802747465670109,0.03533175215125084,0.03201445937156677,0.04166589304804802
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,4,0.1756386160850525,0.8999571204185486,13391,5877.65234375,3170.7177734375,313.5511169433594,1753.5748291015625,240.84820556640625,1523.341796875,252.47174072265625,1556.9224853515625,147.26708984375,1176.815185546875,0.0036040956620126963,0.02827761322259903,0.025385145097970963,0.041825130581855774
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,5,0.1756386160850525,0.8999571204185486,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,6,0.1756386160850525,0.8999571204185486,14277,6313.9326171875,3386.033203125,371.3005676269531,1940.2078857421875,342.4271545410156,1830.114501953125,355.4090576171875,1862.0921630859375,192.63523864746094,1334.511474609375,0.0032455434557050467,0.013022216036915779,0.012527578510344028,0.04959311708807945
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,7,0.1756386160850525,0.8999571204185486,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,8,0.1756386160850525,0.8999571204185486,13884,6059.361328125,3229.108642578125,419.256591796875,2042.3505859375,455.6529541015625,2119.68505859375,466.62628173828125,2141.072021484375,262.95550537109375,1559.383056640625,0.002828927244991064,0.009416486136615276,0.011328518390655518,0.0519421324133873
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,9,0.1756386160850525,0.8999571204185486,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0,minicube_0_36.25_-5.75,minicube_0_36.25_-5.75,2021-05,151,minicube_236_46.25_7.55,10,0.1756386160850525,0.8999571204185486,14275,6319.404296875,3410.931640625,467.0179748535156,2169.43505859375,551.9232788085938,2373.1240234375,556.420166015625,2376.05712890625,353.6063537597656,1856.296142578125,0.0026761097833514214,0.016701504588127136,0.016918914392590523,0.04725559428334236
