,value
nse,-0.00027870579983213517
rmse,0.14434937018068322
R2,0.5003010429147259
biasabs,0.08536191581819522
nse_forest,-0.06031198061625087
rmse_forest,0.14277144532708275
R2_forest,0.44870330831587735
biasabs_forest,0.0823195799182807
nse_shrub,-0.06378372371781982
rmse_shrub,0.13814505568588267
R2_shrub,0.47871606526974264
biasabs_shrub,0.08136392629474003
nse_grass,0.03785953481277993
rmse_grass,0.1398750402203045
R2_grass,0.5132540779290401
biasabs_grass,0.08192142811487337
nse_crop,0.07752769639140689
rmse_crop,0.156605939489463
R2_crop,0.5605307201442432
biasabs_crop,0.09584272894488675
rmse_0_5,0.10121805780754668
rmse_5_10,0.12820634174308307
rmse_10_15,0.14529288280578495
rmse_15_20,0.1518944192665078
rmse25,0.10121805780754668
