,0
nse,-1.1833666523042266
rmse,0.24457258777648072
R2,2.2725198686396354e-31
biasabs,0.17793391612846665
nse_forest,-0.9663174019290084
rmse_forest,0.217891760883973
R2_forest,3.089654278338775e-31
biasabs_forest,0.14993153155013994
nse_shrub,-1.2140593629941985
rmse_shrub,0.2063134519554457
R2_shrub,2.1910358835502865e-31
biasabs_shrub,0.1511050717855285
nse_grass,-1.2019749196030247
rmse_grass,0.23489669092289775
R2_grass,2.512011624645359e-31
biasabs_grass,0.17125073308318645
nse_crop,-1.3786896123868777
rmse_crop,0.31918844734360635
R2_crop,1.2973776880241204e-31
biasabs_crop,0.23944832809501165
