,0
nse,-1.3542868445494012
rmse,0.24618877244018483
R2,1.867689735764818e-31
biasabs,0.18569639969390678
nse_forest,-1.2473529903833542
rmse_forest,0.23051803171711938
R2_forest,1.9590702132404291e-31
biasabs_forest,0.1709175231965115
nse_shrub,-1.4886908262030025
rmse_shrub,0.2374329030354572
R2_shrub,2.5498694504820384e-31
biasabs_shrub,0.18269353100785402
nse_grass,-1.1934166337540937
rmse_grass,0.22111004919386032
R2_grass,1.9265795396628035e-31
biasabs_grass,0.161395608941088
nse_crop,-1.5115314739417145
rmse_crop,0.29569410581430244
R2_crop,1.0352397396740004e-31
biasabs_crop,0.22777893563017354
