split,c1_path_mae_mean_cube_horizon,fsr_path_mae_mean_cube_horizon,delta_fsr_minus_c1_mean_cube_horizon,delta_fsr_minus_c1_geo_equal_point,delta_fsr_minus_c1_geo_bootstrap_ci95_low,delta_fsr_minus_c1_geo_bootstrap_ci95_high,n_cube_horizon_pairs,n_cubes,n_geo_groups,c1_input_rows,fsr_input_rows,c1_duplicate_keys,fsr_duplicate_keys,excluded_total,excluded_reasons,bootstrap_draws,bootstrap_seed,interpretation
iid,0.0065482785932125783,0.0081859179995313145,0.0016376394063187362,0.0014080939805798188,0.0010556032838713869,0.0017585844365704127,16537,2837,80,28560,28560,0,0,12023,no_valid_pixels=12023,2000,20260910,"delta=FSR-C1; positive means larger FSR A/B output mismatch, negative means smaller FSR mismatch"
ood_t,0.0065450208425183835,0.0079742521183759039,0.0014292312758575204,0.0011109168823211276,0.00079679007953110546,0.0014258028365534705,10674,1873,80,19040,19040,0,0,8366,no_valid_pixels=8366,2000,20260910,"delta=FSR-C1; positive means larger FSR A/B output mismatch, negative means smaller FSR mismatch"
ood_st,0.0068120355992822785,0.0073985002120022037,0.00058646461271992523,0.00045770951812607079,0.00036053475919443581,0.00057057450779108556,34029,6859,878,70240,70240,0,0,36211,no_valid_pixels=36211,2000,20260910,"delta=FSR-C1; positive means larger FSR A/B output mismatch, negative means smaller FSR mismatch"
ood_s,0.0066431069000787331,0.0073984974579147204,0.00075539055783598735,0.00044799657924572391,0.0003402938237498932,0.00055753614455291496,52796,10386,878,105360,105360,0,0,52564,no_valid_pixels=52564,2000,20260910,"delta=FSR-C1; positive means larger FSR A/B output mismatch, negative means smaller FSR mismatch"
