metric,value
R2,0.5038792337795921
R2_crop,0.515793924348256
R2_forest,0.4806235809804963
R2_grass,0.5106771427057982
R2_shrub,0.5084222870838179
biasabs,0.13110578482262658
biasabs_crop,0.14250790219827644
biasabs_forest,0.12541018443619203
biasabs_grass,0.12774362985324134
biasabs_shrub,0.12876142280279648
nse,-0.4757240384974324
nse_crop,-0.43354922876474955
nse_forest,-0.4972247630371909
nse_grass,-0.42386894490395566
nse_shrub,-0.5525934776095549
rmse,0.18390104495610873
rmse25,0.1276150391760543
rmse_0_5,0.1276150391760543
rmse_10_15,0.18348194787428052
rmse_15_20,0.1984269607270612
rmse_5_10,0.15528995208814883
rmse_crop,0.19885850450692458
rmse_forest,0.18031189608264467
rmse_grass,0.1797167203371324
rmse_shrub,0.1767170588977333
