panel,source,status,reason
A,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/metrics/T3_c0r_vs_c1_paired_bootstrap.json,complete,paired spatial-group bootstrap of standard C0R vs C1 records; 95% CI
B,/data/zs/terrastate_tip_runs/parallel_eval_20260908T075534Z/first_dataset_closure_fix_20260911T081702Z/tables/Table6A_leaveout_partitions.csv,complete,C1 development and independent confirmation ranges
